name,Economy (mpg),cylinders,displacement (cc)
Ford Pinto,23,4,140
Ford Pinto,25,4,98
Ford Pinto,26,4,122
Ford Pinto,26.5,4,140
Ford Ranger,28,4,120
Ford Thunderbird,16,8,351
Ford Torino (Wagon),,8,351
Ford Torino 500,19,6,250
Ford Torino,17,8,302
Hi 1200D,9,8,304
Honda Accord CVCC,31.5,4,98
Honda Accord LX,29.5,4,98
Honda Accord,32.4,4,107
Honda Accord,36,4,107
Honda Civic (Auto),32,4,91
Honda Civic 1300,35.1,4,81
Honda Civic 1500 GL,44.6,4,91
Honda Civic CVCC,33,4,91
Honda Civic CVCC,36.1,4,91
Honda Civic,24,4,120
Honda Civic,33,4,91
Honda Civic,38,4,91
Honda Prelude,33.7,4,107
Maxda GLC Deluxe,34.1,4,86
Maxda RX-3,18,3,70
Mazda 626,31.3,4,120
Mazda 626,31.6,4,120
Mazda GLC 4,34.1,4,91
Mazda GLC Custom L,37,4,91
Mazda GLC Custom,31,4,91
Mazda GLC Deluxe,32.8,4,78
Mazda GLC,46.6,4,86
Mazda RX-2 Coupe,19,3,70
Mazda RX-4,21.5,3,80
Mazda RX-7 Gs,23.7,3,70
Mercedes-Benz 240D,30,4,146
Mercedes-Benz 280S,16.5,6,168
Mercedes-Benz 300D,25.4,5,183
Mercury Capri 2000,23,4,122
Mercury Capri V6,21,6,155
Mercury Cougar Brougham,15,8,302
Mercury Grand Marquis,16.5,8,351
Mercury Lynx L,36,4,98
Mercury Marquis Brougham,12,8,429
Mercury Marquis,11,8,429
Mercury Monarch Ghia,20.2,8,302
Mercury Monarch,15,6,250
Mercury Zephyr 6,19.8,6,200
Mercury Zephyr,20.8,6,200
Nissan Stanza XE,36,4,120
Oldsmobile Cutlass Ciera (Diesel),38,6,262
Oldsmobile Cutlass LS,26.6,8,350
Oldsmobile Cutlass Salon Brougham,19.9,8,260
Oldsmobile Cutlass Salon Brougham,23.9,8,260
Oldsmobile Cutlass Supreme,17,8,260
Oldsmobile Delta 88 Royale,12,8,350
Oldsmobile Omega Brougham,26.8,6,173
Oldsmobile Omega,11,8,350
Oldsmobile Starfire SX,23.8,4,151
Oldsmobile Vista Cruiser,12,8,350
Opel 1900,25,4,116
Opel 1900,28,4,116
Opel Manta,24,4,116
Opel Manta,26,4,97
Peugeot 304,30,4,79
Peugeot 504 (Wagon),21,4,120
Peugeot 504,19,4,120
Peugeot 504,23,4,120
Peugeot 504,25,4,110
Peugeot 504,27.2,4,141
Peugeot 505S Turbo Diesel,28.1,4,141
Peugeot 604SL,16.2,6,163
Plymouth Arrow GS,25.5,4,122
Plymouth Barracuda 340,14,8,340
Plymouth Champ,39,4,86
Plymouth Cricket,26,4,91
Plymouth Custom Suburb,13,8,360
Plymouth Duster,20,6,198
Plymouth Duster,22,6,198
Plymouth Duster,23,6,198
Plymouth Fury Gran Sedan,14,8,318
Plymouth Fury III,14,8,318
Plymouth Fury III,14,8,440
Plymouth Fury III,15,8,318
Plymouth Fury,18,6,225
Plymouth Grand Fury,16,8,318
Plymouth Horizon 4,34.7,4,105
Plymouth Horizon Miser,38,4,105
Plymouth Horizon TC3,34.5,4,105
Plymouth Horizon,34.2,4,105
Plymouth Reliant,27.2,4,135
Plymouth Reliant,30,4,135
Plymouth Sapporo,23.2,4,156
Plymouth Satellite (Wagon),,8,383
Plymouth Satellite Custom (Wagon),14,8,318
Plymouth Satellite Custom,16,6,225
Plymouth Satellite Sebring,18,6,225
Plymouth Satellite,18,8,318
Plymouth Valiant Custom,19,6,225
Plymouth Valiant,18,6,225
Plymouth Valiant,22,6,225
Plymouth Volare Custom,19,6,225
Plymouth Volare Premier V8,13,8,318
Plymouth Volare,20.5,6,225
Pontiac Astro,23,4,140
Pontiac Catalina Brougham,14,8,400
Pontiac Catalina,14,8,400
Pontiac Catalina,14,8,455
Pontiac Catalina,16,8,400
Pontiac Firebird,19,6,250
Pontiac Grand Prix Lj,16,8,400
Pontiac Grand Prix,16,8,400
Pontiac J2000 Se Hatchback,31,4,112
Pontiac Lemans V6,21.5,6,231
Pontiac Phoenix LJ,19.2,6,231
Pontiac Phoenix,27,4,151
Pontiac Phoenix,33.5,4,151
Pontiac Safari (Wagon),13,8,400
Pontiac Sunbird Coupe,24.5,4,151
Pontiac Ventura Sj,18.5,6,250
Renault 12 (Wagon),26,4,96
Renault 12TL,27,4,101
Renault 18I,34.5,4,100
Renault 5 Gtl,36,4,79
Renault Lecar Deluxe,40.9,4,85
Saab 900S,,4,121
Saab 99E,25,4,104
Saab 99GLE,21.6,4,121
Saab 99LE,24,4,121
Saab 99LE,25,4,121
Subaru DL,30,4,97
Subaru DL,33.8,4,97
Subaru,26,4,108
Subaru,32.3,4,97
Toyota Carina,20,4,97
Toyota Celica GT Liftback,21.1,4,134
Toyota Celica GT,32,4,144
Toyota Corolla 1200,31,4,71
Toyota Corolla 1200,32,4,71
Toyota Corolla 1600 (Wagon),27,4,97
Toyota Corolla Liftback,26,4,97
Toyota Corolla Tercel,38.1,4,89
Toyota Corolla,28,4,97
Toyota Corolla,29,4,97
Toyota Corolla,32.2,4,108
Toyota Corolla,32.4,4,108
Toyota Corolla,34,4,108
Toyota Corona Hardtop,24,4,113
Toyota Corona Liftback,29.8,4,134
Toyota Corona Mark II,24,4,113
Toyota Corona,24,4,134
Toyota Corona,25,4,113
Toyota Corona,27.5,4,134
Toyota Corona,31,4,76
Toyota Cressida,25.4,6,168
Toyota Mark II,19,6,156
Toyota Mark II,20,6,156
Toyota Starlet,39.1,4,79
Toyota Tercel,37.7,4,89
Toyouta Corona Mark II (Wagon),23,4,120
Triumph TR7 Coupe,35,4,122
Vokswagen Rabbit,29.8,4,89
Volkswagen 1131 Deluxe Sedan,26,4,97
Volkswagen 411 (Wagon),22,4,121
Volkswagen Dasher (Diesel),43.4,4,90
Volkswagen Dasher,25,4,90
Volkswagen Dasher,26,4,79
Volkswagen Dasher,30.5,4,97
Volkswagen Jetta,33,4,105
Volkswagen Model 111,27,4,97
Volkswagen Pickup,44,4,97
Volkswagen Rabbit C (Diesel),44.3,4,90
Volkswagen Rabbit Custom Diesel,43.1,4,90
Volkswagen Rabbit Custom,29,4,97
Volkswagen Rabbit Custom,31.9,4,89
Volkswagen Rabbit L,36,4,105
Volkswagen Rabbit,29,4,90
Volkswagen Rabbit,29,4,90
Volkswagen Rabbit,29.5,4,97
Volkswagen Rabbit,41.5,4,98
Volkswagen Scirocco,31.5,4,89
Volkswagen Super Beetle 117,,4,97
Volkswagen Super Beetle,26,4,97
Volkswagen Type 3,23,4,97
Volvo 144EA,19,4,121
Volvo 145E (Wagon),18,4,121
Volvo 244DL,22,4,121
Volvo 245,20,4,130
Volvo 264GL,17,6,163
Volvo Diesel,30.7,6,145
